"Iteracja","Current","Best","Worst","Average"
"1","40503","40503","40503","40503"
"2","39216","39216","40503","39859"
"3","40940","39216","40940","40219"
"4","44120","39216","44120","41194"
"5","39225","39216","44120","40800"
"6","42563","39216","44120","41094"
"7","42961","39216","44120","41361"
"8","40503","39216","44120","41253"
"9","40718","39216","44120","41194"
"10","42537","39216","44120","41328"
"11","40894","39216","44120","41289"
"12","41907","39216","44120","41340"
"13","41383","39216","44120","41343"
"14","40856","39216","44120","41309"
"15","42125","39216","44120","41363"
"16","41562","39216","44120","41375"
"17","42577","39216","44120","41446"
"18","42598","39216","44120","41510"
"19","42734","39216","44120","41574"
"20","42432","39216","44120","41617"
"21","41946","39216","44120","41633"
"22","41513","39216","44120","41627"
"23","41793","39216","44120","41635"
"24","42169","39216","44120","41657"
"25","41411","39216","44120","41647"
"26","44312","39216","44312","41749"
"27","42605","39216","44312","41781"
"28","42133","39216","44312","41794"
"29","39739","39216","44312","41723"
"30","42133","39216","44312","41736"
"31","42902","39216","44312","41774"
"32","40481","39216","44312","41734"
"33","40813","39216","44312","41706"
"34","40149","39216","44312","41660"
"35","43484","39216","44312","41712"
"36","42645","39216","44312","41738"
"37","42423","39216","44312","41756"
"38","41572","39216","44312","41752"
"39","39791","39216","44312","41701"
"40","42197","39216","44312","41714"
"41","40876","39216","44312","41693"
"42","39216","39216","44312","41634"
"43","42134","39216","44312","41646"
"44","43730","39216","44312","41693"
"45","43524","39216","44312","41734"
"46","40717","39216","44312","41712"
"47","41926","39216","44312","41716"
"48","40742","39216","44312","41696"
