"Iteracja","Best Result","Worst Result","Average Cost","OdchylenieStandardowe"
"1","34425","192117","60268","31343.970933985554"
"2","35301","180473","59733","30066.630993145034"
"3","32322","180187","66064","33306.09318665628"
"4","42724","183420","71480","31585.233511416332"
"5","40577","192674","73714","34119.33009077466"
"6","37178","187420","66239","28485.477608987803"
"7","39025","203692","70558","36107.83289589837"
"8","37321","184855","66357","31164.18093122435"
"9","43260","196196","69996","30172.866785557355"
"10","41262","194957","69826","34289.72491061032"
